Date,SPX Return,Time to Maturity in Year,Delta,Implied Volatility Change
20140701,0.000658813,1.088,0.90529,-0.008574
20140701,0.000658813,2.14,0.523388,-0.003206
20140701,0.000658813,0.684,0.787102,-0.00634
20140701,0.000658813,0.796,0.413162,-0.003173
20140701,0.000658813,2.864,0.757171,-0.003675
20140701,0.000658813,0.148,0.433614,-0.004718
20140701,0.000658813,2.14,0.627768,-0.003919
20140701,0.000658813,0.092,0.916816,-0.020182
20140701,0.000658813,0.32,0.696192,-0.007178
20140701,0.000658813,0.36,0.932718,-0.011358
20140701,0.000658813,0.204,0.848882,-0.01211
20140701,0.000658813,0.684,0.406498,-0.003397
20140701,0.000658813,0.204,0.734276,-0.008392
20140701,0.000658813,1.044,0.927183,-0.009616
20140701,0.000658813,1.452,0.823576,-0.004216
20140701,0.000658813,0.684,0.925615,-0.010224
20140701,0.000658813,2.864,0.64546,-0.004063
20140701,0.000658813,1.044,0.669114,-0.004876
20140701,0.000658813,0.432,0.684874,-0.006208
20140701,0.000658813,1.088,0.88538,-0.007587
20140701,0.000658813,0.32,0.933758,-0.011841
20140701,0.000658813,1.044,0.558717,-0.004095
20140701,0.000658813,3.592,0.463846,-0.00174
20140701,0.000658813,0.796,0.102162,-0.002492
20140701,0.000658813,0.32,0.682796,-0.007123
20140701,0.000658813,3.592,0.260542,-0.000655
20140701,0.000658813,1.408,0.918054,-0.00776
20140701,0.000658813,2.14,0.84937,-0.007478
20140701,0.000658813,1.044,0.77829,-0.006272
20140701,0.000658813,0.068,0.340737,-0.004159
20140701,0.000658813,1.452,0.359102,-0.002763
20140701,0.000658813,0.092,0.844105,-0.01226
20140701,0.000658813,0.092,0.900246,-0.016653
20140701,0.000658813,0.796,0.13909,-0.002104
20140701,0.000658813,0.204,0.379199,-0.004604
20140701,0.000658813,0.18,0.930545,-0.014893
20140701,0.000658813,1.408,0.171733,-0.001794
20140701,0.000658813,0.32,0.93281,-0.010117
20140701,0.000658813,0.728,0.866104,-0.007302
20140701,0.000658813,2.248,0.685968,-0.003395
20140701,0.000658813,0.36,0.655508,-0.004909
20140701,0.000658813,1.408,0.316897,-0.002419
20140701,0.000658813,2.864,0.826819,-0.004351
20140701,0.000658813,0.684,0.531262,-0.004105
20140701,0.000658813,0.148,0.062152,-0.003897
20140701,0.000658813,0.32,0.820279,-0.006363
20140701,0.000658813,0.684,0.586706,-0.004647
20140701,0.000658813,2.14,0.876155,-0.008606
20140701,0.000658813,2.248,0.577566,-0.002749
20140701,0.000658813,0.432,0.815071,-0.005774
20140701,0.000658813,1.088,0.69515,-0.004869
20140701,0.000658813,0.432,0.844796,-0.006356
20140701,0.000658813,0.068,0.857946,-0.014657
20140701,0.000658813,0.432,0.79471,-0.005256
20140701,0.000658813,0.32,0.551591,-0.005528
20140701,0.000658813,3.592,0.706268,-0.003486
20140701,0.000658813,0.728,0.124325,-0.001774
20140701,0.000658813,1.408,0.827995,-0.00481
20140701,0.000658813,1.044,0.902472,-0.007405
20140701,0.000658813,0.148,0.88136,-0.011551
20140701,0.000658813,2.14,0.604546,-0.003731
20140701,0.000658813,3.592,0.069146,-0.001274
20140701,0.000658813,2.864,0.782937,-0.003566
20140701,0.000658813,0.32,0.056746,-0.00326
20140701,0.000658813,2.248,0.920042,-0.010114
20140701,0.000658813,1.088,0.873789,-0.00772
20140701,0.000658813,0.18,0.924019,-0.014135
20140701,0.000658813,1.088,0.813423,-0.005172
20140701,0.000658813,0.728,0.895567,-0.009742
20140701,0.000658813,0.32,0.29026,-0.003941
20140701,0.000658813,1.452,0.574783,-0.003862
20140701,0.000658813,0.32,0.358769,-0.004259
20140702,0.005479508,0.176,0.572294,-0.000873
20140702,0.005479508,0.2,0.193212,-0.001642
20140702,0.005479508,1.04,0.274749,-0.000598
20140702,0.005479508,0.176,0.678828,-0.002199
20140702,0.005479508,0.064,0.06394,-0.004863
20140702,0.005479508,0.356,0.055059,-0.002337
20140702,0.005479508,1.084,0.893567,-0.002882
20140702,0.005479508,0.792,0.863132,-0.004422
20140702,0.005479508,2.244,0.803004,-0.000775
20140702,0.005479508,0.116,0.904379,-0.013057
20140702,0.005479508,0.316,0.886097,-0.009715
20140702,0.005479508,2.244,0.743472,-0.000857
20140702,0.005479508,0.064,0.159824,-0.004559
20140702,0.005479508,0.68,0.643788,-0.001231
20140702,0.005479508,0.724,0.756389,-0.000842
20140702,0.005479508,2.244,0.946139,-0.003509
20140702,0.005479508,0.68,0.534814,-0.000159
20140702,0.005479508,3.588,0.946167,-0.004133
20140702,0.005479508,3.588,0.912319,0.003328
20140702,0.005479508,0.428,0.749587,-0.000982
20140702,0.005479508,0.2,0.282538,-0.001511
20140702,0.005479508,2.244,0.303415,-0.00108
20140702,0.005479508,2.136,0.238879,-0.000148
20140702,0.005479508,1.404,0.509971,-0.001038
20140702,0.005479508,0.116,0.557304,-0.004579
20140702,0.005479508,1.084,0.516729,-0.000535
20140702,0.005479508,2.244,0.867869,-0.001206
20140702,0.005479508,2.136,0.83587,0.001096
20140702,0.005479508,0.088,0.423677,-0.004464
20140702,0.005479508,3.588,0.926914,-0.0026
20140702,0.005479508,0.316,0.818254,-0.006013
20140702,0.005479508,0.2,0.882728,-0.006592
20140702,0.005479508,3.588,0.505068,-0.000754
20140702,0.005479508,0.064,0.128785,-0.007279
20140702,0.005479508,3.588,0.919901,0.004077
20140702,0.005479508,0.144,0.870099,-0.006141
20140702,0.005479508,0.176,0.76032,-0.00459
20140702,0.005479508,0.176,0.742191,-0.002571
20140702,0.005479508,0.356,0.814907,-0.004162
20140702,0.005479508,0.724,0.837199,-0.002475
20140702,0.005479508,2.86,0.217195,-0.000555
20140702,0.005479508,0.2,0.822997,-0.005723
20140702,0.005479508,0.356,0.367997,-0.00061
20140702,0.005479508,2.86,0.943676,-0.002827
20140702,0.005479508,0.2,0.443769,-0.002005
20140702,0.005479508,1.404,0.670155,-0.001045
20140702,0.005479508,3.588,0.340093,-0.000767
20140702,0.005479508,2.136,0.607188,0.000389
20140702,0.005479508,0.356,0.829689,-0.004693
20140702,0.005479508,0.144,0.792846,-0.004517
20140702,0.005479508,3.588,0.80603,0.001124
20140702,0.005479508,1.448,0.06165,-0.000836
20140702,0.005479508,0.724,0.220318,-0.00042
20140702,0.005479508,0.116,0.714705,-0.004796
20140702,0.005479508,0.176,0.77686,-0.005249
20140702,0.005479508,2.86,0.927734,-0.00275
20140702,0.005479508,3.588,0.849813,0.001616
20140702,0.005479508,1.04,0.927534,-0.00727
20140702,0.005479508,0.316,0.921226,-0.014087
20140702,0.005479508,2.86,0.524637,-0.000982
20140702,0.005479508,0.316,0.905393,-0.011585
20140702,0.005479508,3.588,0.665848,-0.000826
20140702,0.005479508,0.144,0.757611,-0.004243
20140702,0.005479508,0.2,0.755871,-0.00328
20140702,0.005479508,0.064,0.82437,-0.017824
20140702,0.005479508,0.176,0.440665,-0.001056
20140702,0.005479508,0.316,0.749632,-0.001489
20140702,0.005479508,0.064,0.21869,-0.006176
20140702,0.005479508,3.588,0.633516,-0.000686
20140702,0.005479508,0.116,0.257233,-0.002994
20140702,0.005479508,2.244,0.920191,-0.002714
20140702,0.005479508,0.116,0.215764,-0.002885
20140702,0.005479508,1.084,0.868921,-0.00234
20140702,0.005479508,2.136,0.444649,0.000329
20140702,0.005479508,1.04,0.323971,-0.000514
20140702,0.005479508,0.68,0.406295,-0.000225
20140702,0.005479508,0.088,0.895446,-0.014054
20140702,0.005479508,0.792,0.743978,-0.000577
20140702,0.005479508,0.68,0.900872,-0.006948
20140702,0.005479508,0.428,0.876708,-0.007124
20140702,0.005479508,0.68,0.766583,-0.001067
20140702,0.005479508,2.86,0.478379,-0.000819
20140702,0.005479508,1.448,0.608941,-0.000545
20140702,0.005479508,1.04,0.602591,-0.000677
20140702,0.005479508,2.136,0.78231,0.000221
20140702,0.005479508,0.2,0.811169,-0.0053
20140702,0.005479508,0.176,0.332128,-0.000859
20140702,0.005479508,0.724,0.164255,0.000179
20140702,0.005479508,0.2,0.912294,-0.011734
20140702,0.005479508,3.588,0.920775,-0.002232
20140702,0.005479508,1.448,0.813694,-0.001686
20140702,0.005479508,1.448,0.577407,-0.000683
20140702,0.005479508,2.86,0.747232,-0.001959
20140702,0.005479508,2.86,0.648717,-0.00127
20140702,0.005479508,0.2,0.865789,-0.005627
20140702,0.005479508,0.792,0.879385,-0.005221
20140702,0.005479508,1.04,0.6752,-0.001566
20140702,0.005479508,2.136,0.630877,0.000449
20140702,0.005479508,0.2,0.893422,-0.009712
20140702,0.005479508,0.792,0.181732,-0.000652
20140703,-0.003923522,2.856,0.657301,0.002205
20140703,-0.003923522,1.444,0.895446,0.005723
20140703,-0.003923522,2.24,0.939371,0.007461
20140703,-0.003923522,1.036,0.292202,0.001981
20140703,-0.003923522,0.06,0.330478,0.012686
20140703,-0.003923522,1.4,0.843166,0.003997
20140703,-0.003923522,0.14,0.480384,0.006114
20140703,-0.003923522,1.08,0.890551,0.005771
20140703,-0.003923522,0.312,0.90492,0.01183
20140703,-0.003923522,0.312,0.476655,0.003054
20140703,-0.003923522,1.036,0.820658,0.004819
20140703,-0.003923522,0.312,0.307639,0.002222
20140703,-0.003923522,2.24,0.796102,0.003325
20140703,-0.003923522,0.112,0.648097,0.007527
20140703,-0.003923522,0.788,0.91846,0.008474
20140703,-0.003923522,2.132,0.828211,0.003069
20140703,-0.003923522,1.036,0.722561,0.003471
20140703,-0.003923522,0.196,0.674463,0.006961
20140703,-0.003923522,1.08,0.94159,0.007408
20140703,-0.003923522,0.172,0.071837,0.003215
20140703,-0.003923522,0.312,0.924268,0.013337
20140703,-0.003923522,0.72,0.944383,0.008535
20140703,-0.003923522,0.352,0.642632,0.004826
20140703,-0.003923522,0.196,0.342893,0.004249
20140703,-0.003923522,2.24,0.942595,0.007908
20140703,-0.003923522,0.112,0.434758,0.005654
20140703,-0.003923522,0.14,0.932193,0.015852
20140703,-0.003923522,1.444,0.704233,0.002481
20140703,-0.003923522,0.14,0.626587,0.006656
20140703,-0.003923522,0.084,0.594962,0.009231
20140703,-0.003923522,2.24,0.854226,0.004131
20140703,-0.003923522,0.14,0.78092,0.008732
20140703,-0.003923522,0.312,0.843441,0.008758
20140703,-0.003923522,1.036,0.928653,0.008567
20140703,-0.003923522,0.112,0.94576,0.01944
20140703,-0.003923522,1.08,0.685118,0.002917
20140703,-0.003923522,1.4,0.655165,0.002371
20140703,-0.003923522,0.196,0.625333,0.00625
20140703,-0.003923522,3.584,0.267062,0.001055
20140703,-0.003923522,0.424,0.665052,0.004277
20140703,-0.003923522,2.132,0.172449,0.00074
20140703,-0.003923522,1.036,0.898776,0.006937
20140703,-0.003923522,1.444,0.919753,0.008139
20140703,-0.003923522,0.084,0.935238,0.020631
20140703,-0.003923522,0.424,0.76572,0.005333
20140703,-0.003923522,2.24,0.513337,0.000924
20140703,-0.003923522,0.312,0.107544,0.002667
20140703,-0.003923522,0.424,0.879619,0.008546
20140703,-0.003923522,0.72,0.803022,0.004729
20140703,-0.003923522,0.196,0.113851,0.003428
20140703,-0.003923522,0.14,0.816577,0.009437
20140703,-0.003923522,2.856,0.917964,0.006799
20140703,-0.003923522,2.24,0.901965,0.004884
20140703,-0.003923522,0.312,0.782694,0.006152
20140703,-0.003923522,2.132,0.8788,0.003992
20140703,-0.003923522,0.112,0.884038,0.0138
20140703,-0.003923522,3.584,0.641031,0.001947
20140703,-0.003923522,0.172,0.911819,0.015431
20140703,-0.003923522,0.352,0.842845,0.00706
20140703,-0.003923522,1.444,0.938243,0.011489
20140703,-0.003923522,0.424,0.91484,0.010389
20140703,-0.003923522,1.444,0.218927,0.001305
20140703,-0.003923522,0.424,0.419155,0.002607
20140703,-0.003923522,2.132,0.277943,0.00135
20140703,-0.003923522,1.036,0.393366,0.001746
20140703,-0.003923522,2.24,0.565351,0.000818
20140703,-0.003923522,1.08,0.576818,0.002722
20140703,-0.003923522,2.856,0.184107,0.000607
20140703,-0.003923522,0.196,0.939367,0.014322
20140703,-0.003923522,0.196,0.094415,0.003644
20140703,-0.003923522,2.132,0.886874,0.003985
20140703,-0.003923522,0.312,0.874003,0.009851
20140703,-0.003923522,0.084,0.483077,0.007951
20140703,-0.003923522,2.24,0.809308,0.003463
20140703,-0.003923522,1.444,0.558436,0.002004
20140703,-0.003923522,2.132,0.928896,0.006249
20140703,-0.003923522,3.584,0.903819,0.00243
20140703,-0.003923522,2.132,0.456957,0.001047
20140703,-0.003923522,0.424,0.92897,0.011886
20140703,-0.003923522,2.132,0.617381,0.001154
20140703,-0.003923522,0.676,0.93916,0.010717
20140703,-0.003923522,0.352,0.609386,0.003906
20140703,-0.003923522,1.4,0.32897,0.001482
20140703,-0.003923522,0.112,0.610871,0.007411
20140703,-0.003923522,0.172,0.778488,0.007939
20140703,-0.003923522,3.584,0.843973,0.002023
20140703,-0.003923522,1.036,0.49125,0.001735
20140703,-0.003923522,1.08,0.864027,0.004902
20140703,-0.003923522,0.72,0.497547,0.002465
20140703,-0.003923522,0.352,0.687611,0.004858
20140703,-0.003923522,0.424,0.089993,0.002249
20140703,-0.003923522,1.036,0.799805,0.004751
20140703,-0.003923522,0.72,0.740037,0.004459
20140703,-0.003923522,2.132,0.815891,0.00304
20140703,-0.003923522,0.788,0.437379,0.001698
20140703,-0.003923522,0.112,0.134178,0.004288
20140703,-0.003923522,1.4,0.755036,0.002967
20140703,-0.003923522,0.788,0.760196,0.003651
20140703,-0.003923522,0.196,0.718038,0.007596
20140703,-0.003923522,3.584,0.915765,0.002514
20140707,-0.007048802,0.18,0.948939,0.020987
20140707,-0.007048802,2.84,0.821248,0.001168
20140707,-0.007048802,0.336,0.945721,0.014031
20140707,-0.007048802,0.824,0.736232,0.003397
20140707,-0.007048802,0.124,0.914069,0.017587
20140707,-0.007048802,0.336,0.941114,0.013108
20140707,-0.007048802,1.02,0.889912,0.00583
20140707,-0.007048802,0.208,0.151972,0.002583
20140707,-0.007048802,2.84,0.799526,0.001154
20140707,-0.007048802,0.704,0.41807,0.00162
20140707,-0.007048802,0.156,0.532489,0.005001
20140707,-0.007048802,0.18,0.365695,0.003196
20140707,-0.007048802,0.124,0.87294,0.013877
20140707,-0.007048802,0.096,0.942725,0.022781
20140707,-0.007048802,1.384,0.514933,0.00135
20140707,-0.007048802,2.84,0.067392,0.000354
20140707,-0.007048802,0.704,0.480581,0.001991
20140707,-0.007048802,0.18,0.917463,0.015776
20140707,-0.007048802,1.064,0.936144,0.006468
20140707,-0.007048802,0.156,0.278853,0.002885
20140707,-0.007048802,0.096,0.883215,0.015566
20140707,-0.007048802,0.096,0.921343,0.020053
20140707,-0.007048802,2.224,0.506281,0.000941
20140707,-0.007048802,0.336,0.425023,0.002517
20140707,-0.007048802,0.156,0.809283,0.009063
20140707,-0.007048802,1.02,0.920658,0.007484
20140707,-0.007048802,0.336,0.727569,0.005361
20140707,-0.007048802,0.46,0.811653,0.005856
20140707,-0.007048802,0.572,0.791877,0.006356
20140707,-0.007048802,0.18,0.089954,0.001844
20140707,-0.007048802,2.84,0.220399,0.000354
20140707,-0.007048802,0.772,0.535685,0.002041
20140707,-0.007048802,0.068,0.732318,0.012069
20140707,-0.007048802,0.18,0.737036,0.007622
20140707,-0.007048802,2.224,0.71133,0.001833
20140707,-0.007048802,2.224,0.55858,0.001404
20140707,-0.007048802,0.824,0.877591,0.011586
20140707,-0.007048802,0.296,0.252385,0.001879
20140707,-0.007048802,0.068,0.916881,0.019359
20140707,-0.007048802,3.568,0.75121,0.001603
20140707,-0.007048802,0.336,0.894373,0.009145
20140707,-0.007048802,1.428,0.695795,0.002264
20140707,-0.007048802,0.336,0.615461,0.003292
20140707,-0.007048802,1.428,0.67005,0.002033
20140707,-0.007048802,0.156,0.929479,0.01764
20140707,-0.007048802,2.84,0.849608,0.001312
20140707,-0.007048802,1.428,0.781771,0.002594
20140707,-0.007048802,2.84,0.336818,0.000556
20140707,-0.007048802,2.116,0.495518,0.001235
20140707,-0.007048802,0.296,0.209187,0.001287
20140707,-0.007048802,0.704,0.72513,0.003886
20140707,-0.007048802,0.18,0.299323,0.002813
20140707,-0.007048802,0.18,0.836523,0.010364
20140707,-0.007048802,0.336,0.467105,0.002842
20140707,-0.007048802,2.116,0.300671,0.000754
20140707,-0.007048802,2.224,0.583401,0.001303
20140707,-0.007048802,0.296,0.851544,0.007769
20140707,-0.007048802,1.428,0.362547,0.000704
20140707,-0.007048802,0.772,0.140386,3.80E-05
20140707,-0.007048802,0.66,0.346911,0.001705
20140707,-0.007048802,0.572,0.409942,0.001854
20140707,-0.007048802,3.568,0.881937,0.004252
20140707,-0.007048802,0.336,0.823431,0.006957
20140707,-0.007048802,2.224,0.251579,0.000371
20140707,-0.007048802,0.156,0.39059,0.0039
20140707,-0.007048802,2.116,0.420056,0.00105
20140707,-0.007048802,2.84,0.669856,0.0011
20140707,-0.007048802,1.428,0.889079,0.004157
20140707,-0.007048802,3.568,0.566323,0.000882
20140707,-0.007048802,2.84,0.550764,0.000571
20140707,-0.007048802,0.46,0.48515,0.00232
20140707,-0.007048802,0.772,0.896409,0.006875
20140707,-0.007048802,1.428,0.931018,0.002165
20140707,-0.007048802,0.772,0.919595,0.008224
20140707,-0.007048802,1.384,0.673673,0.00171
20140707,-0.007048802,1.428,0.940524,0.003233
20140707,-0.007048802,0.156,0.623506,0.005737
20140707,-0.007048802,0.336,0.174282,0.001357
20140707,-0.007048802,3.568,0.427655,0.00063
20140707,-0.007048802,1.384,0.241937,0.000319
20140707,-0.007048802,3.568,0.068519,0.000657
20140707,-0.007048802,0.572,0.913912,0.017558
20140707,-0.007048802,0.336,0.790148,0.006743
20140707,-0.007048802,0.18,0.5822,0.004757
20140707,-0.007048802,0.208,0.346278,0.002733
20140707,-0.007048802,1.384,0.949957,0.009014
20140707,-0.007048802,0.068,0.614411,0.009286
20140707,-0.007048802,0.18,0.176412,0.002424
20140707,-0.007048802,0.208,0.942581,0.017275
20140707,-0.007048802,1.02,0.936182,0.00887
20140707,-0.007048802,2.84,0.386106,0.000315
20140707,-0.007048802,0.296,0.94631,0.015295
20140707,-0.007048802,2.224,0.532857,0.001069
20140707,-0.007048802,0.296,0.769785,0.004985
20140707,-0.007048802,0.408,0.600439,0.003276
20140707,-0.007048802,0.408,0.703923,0.003521
20140707,-0.007048802,0.824,0.940738,0.013027
20140707,-0.007048802,0.704,0.789988,0.004492
20140707,-0.007048802,2.84,0.143304,0.000529
20140707,-0.007048802,1.384,0.902981,0.00518
20140708,0.004644268,2.112,0.665577,-0.001614
20140708,0.004644268,2.112,0.814583,-0.002569
20140708,0.004644268,1.016,0.87737,-0.003517
20140708,0.004644268,0.152,0.921865,-0.009161
20140708,0.004644268,2.836,0.170645,-0.001236
20140708,0.004644268,2.112,0.876124,-0.003655
20140708,0.004644268,0.656,0.062907,-0.002107
20140708,0.004644268,0.82,0.134258,-0.002127
20140708,0.004644268,3.564,0.921152,-0.008999
20140708,0.004644268,0.332,0.329989,-0.002326
20140708,0.004644268,0.568,0.931948,-0.000351
20140708,0.004644268,3.564,0.91071,-0.006994
20140708,0.004644268,0.176,0.927236,-0.010586
20140708,0.004644268,0.152,0.374029,-0.00343
20140708,0.004644268,1.38,0.939639,-0.006626
20140708,0.004644268,0.292,0.453313,-0.002787
20140708,0.004644268,0.152,0.884885,-0.00755
20140708,0.004644268,0.152,0.824948,-0.005368
20140708,0.004644268,0.292,0.361854,-0.002696
20140708,0.004644268,0.152,0.726277,-0.004534
20140708,0.004644268,0.204,0.787973,-0.004118
20140708,0.004644268,2.836,0.861478,-0.003672
20140708,0.004644268,0.292,0.760447,-0.003853
20140708,0.004644268,0.12,0.925611,-0.011663
20140708,0.004644268,0.82,0.600593,-0.001649
20140708,0.004644268,0.176,0.056477,-0.002672
20140708,0.004644268,1.016,0.658973,-0.002376
20140708,0.004644268,2.112,0.933524,-0.006937
20140708,0.004644268,2.112,0.060177,-0.001538
20140708,0.004644268,1.06,0.582446,-0.001843
20140708,0.004644268,0.092,0.916857,-0.010247
20140708,0.004644268,3.564,0.64411,-0.001359
20140708,0.004644268,0.568,0.446103,-0.00207
20140708,0.004644268,0.292,0.90868,-0.006998
20140708,0.004644268,0.7,0.699283,-0.002
20140708,0.004644268,0.656,0.382623,-0.002056
20140708,0.004644268,0.064,0.918678,-0.009805
20140708,0.004644268,0.404,0.905088,-0.005238
20140708,0.004644268,0.204,0.75088,-0.004473
20140708,0.004644268,0.176,0.804131,-0.004382
20140708,0.004644268,0.152,0.707703,-0.004534
20140708,0.004644268,0.456,0.520655,-0.001983
20140708,0.004644268,0.404,0.857056,-0.003961
20140708,0.004644268,0.092,0.617539,-0.004642
20140708,0.004644268,0.204,0.448788,-0.002973
20140708,0.004644268,0.292,0.475078,-0.002623
20140708,0.004644268,0.292,0.291261,-0.002325
20140708,0.004644268,1.016,0.356886,-0.002151
20140708,0.004644268,0.152,0.537811,-0.003029
20140708,0.004644268,3.564,0.779046,-0.002336
20140708,0.004644268,0.176,0.122874,-0.002705
20140708,0.004644268,0.292,0.927765,-0.007941
20140708,0.004644268,0.332,0.87651,-0.004696
20140708,0.004644268,0.12,0.248033,-0.003936
20140708,0.004644268,0.292,0.93048,-0.007968
20140708,0.004644268,1.424,0.749152,-0.00229
20140708,0.004644268,0.456,0.745669,-0.002531
20140708,0.004644268,0.092,0.515835,-0.003034
20140708,0.004644268,2.836,0.87639,-0.004262
20140708,0.004644268,2.22,0.545516,-0.00111
20140708,0.004644268,0.332,0.205905,-0.002317
